Clone,Culm ID,Flower,Treatment,Seed_set,Group_weight_mg,Ave_seed_weight
10,10sA1,3,selfed,2,2,1
10,10sA1,2,selfed,1,1.7,1.7
10,10sA1,1,selfed,1,1.5,1.5
10,10sD1,1,selfed,2,2,1
11,11sB1,1,selfed,2,1.8,0.9
12,12s?1,1,selfed,2,0.8,0.4
12,12sA1,2,selfed,2,1.5,0.75
12,12sA2,1,selfed,1,0.9,0.9
12,12sA3,1,selfed,1,1.2,1.2
12,12sB1,1,selfed,9,9,1
12,12sB2,2,selfed,2,1.2,0.6
12,12sB2,1,selfed,1,1.2,1.2
12,12sB3,1,selfed,4,2.5,0.625
12,12sB4,2,selfed,1,0.2,0.2
12,12sB4,1,selfed,17,15.6,0.917647059
12,12sD1,1,selfed,10,9.7,0.97
12,12sD2,1,selfed,4,5.7,1.425
12,12sF1,1,selfed,2,3.8,1.9
12,12sF1,2,selfed,4,6.2,1.55
12,12sG1,1,selfed,1,1.2,1.2
12,12sG2,1,selfed,1,1.9,1.9
12,12sH1,2,selfed,3,4.9,1.633333333
12,12sH1,1,selfed,9,11.1,1.233333333
12,12sI1,2,selfed,9,8.1,0.9
12,12sI1,1,selfed,18,15.2,0.844444444
13,13s?1,1,selfed,3,3.2,1.066666667
13,13s?1,2,selfed,2,2,1
13,13sA1,1,selfed,1,1.2,1.2
13,13sB1,1,selfed,4,4.6,1.533333333
13,13sB1,2,selfed,2,2,1
13,13sD1,2,selfed,9,10.4,1.155555556
13,13sD1,1,selfed,9,11.3,1.255555556
13,13sD2,1,selfed,2,2.6,1.3
13,13sF1,1,selfed,3,4.1,1.366666667
13,13sG1,1,selfed,1,0.6,0.6
13,13sTest1,1,selfed,5,6.6,1.32
13,13sT2,2,selfed,1,1.3,1.3
13,13sT3,1,selfed,1,1.1,1.1
13,13test21,2,selfed,3,2.2,0.733333333
13,13test21,1,selfed,3,2.4,0.8
18,18sB1,1,selfed,2,2.3,1.15
18,18sB2,1,selfed,3,4.5,1.5
18,18sD1,1,selfed,6,9.3,1.55
18,18sD2,1,selfed,6,8.1,1.35
18,18sD2,2,selfed,8,9.9,1.2375
18,18sD3,1,selfed,2,2.9,1.45
18,18sE1,1,selfed,7,5.5,0.785714286
18,18sE1,2,selfed,1,1.5,1.5
18,18sE2,1,selfed,1,0.7,0.7
18,18sE2,2,selfed,3,2.9,0.966666667
18,18sE2,3,selfed,1,0.9,0.9
18,18sF1,3,selfed,7,8.8,1.257142857
18,18sF1,1,selfed,2,2.4,1.2
18,18sF1,2,selfed,2,3,1.5
18,18sF2,1,selfed,3,4.1,1.366666667
18,18sF3,1,selfed,4,4.7,1.175
18,18sF4,1,selfed,3,2.5,1.25
18,18sF4,2,selfed,1,0.9,0.9
18,18sH1,1,selfed,3,3.9,1.3
18,18sH2,1,selfed,2,2.5,1.25
18,18sH3,2,selfed,1,1.3,1.3
18,18sH3,1,selfed,2,2.8,1.4
18,18sH4,1,selfed,2,2.4,1.2
18,18sH4,2,selfed,6,7.8,1.3
18,18sH5,2,selfed,1,1,1
18,18sH5,1,selfed,8,8,1
18,18sI1,1,selfed,1,0.5,0.5
18,18sJ1,1,selfed,3,4.8,1.6
1,1sA1,1,selfed,1,0.9,0.9
22,22sB1,1,selfed,1,0.5,0.5
22,22sD1,1,selfed,1,0.4,0.4
22,22sE1,4,selfed,2,3.1,1.55
22,22sE1,3,selfed,1,1.4,1.4
22,22sE1,2,selfed,3,3.6,1.2
22,22sE1,1,selfed,3,3.4,1.133333333
22,22sE2,1,selfed,3,4.1,1.366666667
22,22sE2,3,selfed,8,8.7,1.0875
22,22sE2,2,selfed,2,2,1
22,22sE3,2,selfed,4,5.8,1.45
22,22sE3,1,selfed,2,2.9,1.45
22,22sF1,1,selfed,1,1.8,1.8
4,4sE1,1,selfed,2,1.9,0.95
4,4sE1,2,selfed,1,1.1,1.1
8,8sA1,3,selfed,1,1.1,1.1
10,10xA1,1,outcrossed,6,7.5,1.25
11,11x?1,1,outcrossed,5,8.5,1.7
11,11x?1,2,outcrossed,1,1.4,1.4
12,12xA1,1,outcrossed,5,4.5,0.9
12,12xA1,2,outcrossed,6,5.3,0.883333333
12,12xA1,3,outcrossed,19,16.8,0.884210526
12,12xA2,1,outcrossed,5,4.9,0.98
12,12xC1,1,outcrossed,3,3.3,1.1
12,12xC2,1,outcrossed,3,1.3,0.433333333
12,12xD1,1,outcrossed,7,8.6,1.228571429
12,12xE1,1,outcrossed,7,8.9,1.271428571
13,13xA1,1,outcrossed,3,3.6,1.2
13,13xC1,1,outcrossed,7,7.4,1.057142857
13,13xD1,1,outcrossed,2,2.9,1.45
13,13xE1,1,outcrossed,4,4.9,1.225
13,13xE1,3,outcrossed,4,5,1.25
13,13xE1,2,outcrossed,4,4.7,1.175
18,18xA1,1,outcrossed,5,5.5,1.1
18,18xA2,2,outcrossed,1,0.7,0.7
18,18xA2,1,outcrossed,8,11.5,1.4375
18,18xA3,1,outcrossed,9,10,1.111111111
18,18xB1,1,outcrossed,7,8.4,1.2
18,18xB2,1,outcrossed,3,2.6,0.866666667
18,18xD1,1,outcrossed,14,14.1,1.007142857
18,18xD2,1,outcrossed,7,7.5,1.071428571
18,18xK1,2,outcrossed,2,2,1
18,18xK1,1,outcrossed,4,2.9,0.725
1,1x?1,1,outcrossed,4,4.2,1.05
1,1xA1,2,outcrossed,5,7.3,1.46
1,1xD1,1,outcrossed,1,0.9,0.9
1,1xE2,1,outcrossed,5,5.2,1.04
1,1xG1*,1,outcrossed,2,0.9,0.9
1,1xG1,2,outcrossed,3,2.3,0.766666667
1,1xH1,2,outcrossed,6,10,1.666666667
1,1xH1,1,outcrossed,2,3.3,1.65
1,1xJ1,2,outcrossed,2,2,1
1,1xJ1,1,outcrossed,5 (one dropped),3.9,0.975
22,22xA1,1,outcrossed,5,5.4,1.08
22,22xA2,1,outcrossed,9,11.7,1.3
22,22xA3,1,outcrossed,6,5,0.833333333
22,22xA4,1,outcrossed,10,9.6,0.96
22,22xA4,2,outcrossed,5,4.8,0.96
22,22xB1,2,outcrossed,4,4.2,1.05
22,22xB1,1,outcrossed,7,8.6,1.228571429
22,22xB1,3,outcrossed,3,3,1
22,22xD1,1,outcrossed,7,8.9,1.271428571
22,22xE2,1,outcrossed,4,6.4,1.6
22,22xE3,1,outcrossed,1,1.3,1.3
4,4xA1,1,outcrossed,6,6,1
4,4xA2*,1,outcrossed,4,2.7,0.9
