Clone_ID,Plant_ID,Treatment,Seed_ID,Weight(g)
23,23x,outcross,23-1x,0.00131
23,23x,outcross,23-2x,0.00038
22,22x,outcross,22-1x,0.00106
22,22x,outcross,22-2x,0.00113
22,22x,outcross,22-3x,0.00117
22,22x,outcross,22-4x,0.00103
22,22x,outcross,22-5x,0.00141
22,22x,outcross,22-6x,0.00109
22,22x,outcross,22-7x,0.00099
22,22c,open,22-1c,0.00057
22,22c,open,22-2c,0.00073
22,22c,open,22-3c,0.001
22,22c,open,22-4c,0.00078
22,22c,open,22-5c,0.00081
22,22c,open,22-6c,0.00075
22,22c,open,22-7c,0.00047
22,22c,open,22-8c,0.00066
22,22c,open,22-9c,0.00071
22,22c,open,22-10c,0.00065
22,22c,open,22-11c,0.00074
22,22c,open,22-12c,0.00054
2,2x,outcross,2-1x,0.00151
2,2x,outcross,2-2x,0.00196
2,2x,outcross,2-3x,0.00181
2,2x,outcross,2-4x,0.00204
2,2x,outcross,2-5x,0.00165
2,2x,outcross,2-6x,0.00178
2,2c,open,2-1c,0.00185
21,21c,open,21-1c,0.00096
21,21c,open,21-2c,0.00143
21,21c,open,21-3c,0.00144
21,21c,open,21-4c,0.0013
21,21c,open,21-5c,0.00109
21,21c,open,21-6c,0.00155
21,21c,open,21-7c,0.00153
21,21c,open,21-8c,0.00136
21,21x,outcross,21-1x,0.00105
21,21x,outcross,21-2x,0.00118
21,21x,outcross,21-3x,0.00108
21,21x,outcross,21-4x,0.0011
21,21x,outcross,21-5x,0.00108
21,21x,outcross,21-6x,0.00101
21,21x,outcross,21-7x,0.00106
21,21x,outcross,21-8x,0.00112
21,21x,outcross,21-9x,0.00106
21,21x,outcross,21-10x,0.00098
19,19x,outcross,19-1x,0.00064
19,19x,outcross,19-2x,0.00064
19,19c,open,19-1c,0.00062
19,19c,open,19-2c,0.00058
19,19c,open,19-3c,0.00059
19,19c,open,19-4c,0.0006
20,20x,outcross,20-1x,0.00032
20,20x,outcross,20-2x,0.00034
20,20x,outcross,20-3x,0.00044
20,20x,outcross,20-4x,0.00037
20,20x,outcross,20-5x,0.00037
20,20x,outcross,20-6x,0.00039
20,20x,outcross,20-7x,0.00029
20,20x,outcross,20-8x,0.00045
20,20x,outcross,20-9x,0.00035
20,20x,outcross,20-10x,0.00047
20,20x,outcross,20-11x,0.00039
20,20x,outcross,20-12x,0.00036
20,20x,outcross,20-13x,0.00042
20,20x,outcross,20-14x,0.0004
20,20x,outcross,20-15x,0.00025
20,20c,open,20-1c,0.00078
20,20c,open,20-2c,0.00041
20,20c,open,20-3c,0.00087
20,20c,open,20-4c,0.00174
20,20c,open,20-5c,0.00181
20,20c,open,20-6c,0.00079
20,20c,open,20-7c,0.00087
20,20c,open,20-8c,0.00071
20,20c,open,20-9c,0.00173
17,17x,outcross,17-1x,0.00125
17,17x,outcross,17-2x,0.00149
17,17x,outcross,17-3x,0.00159
17,17x,outcross,17-4x,0.00139
17,17x,outcross,17-5x,0.00147
17,17x,outcross,17-6x,0.00144
