clone,culm_ID,flower_id,Treatment,seed_set
10,10sA1_3,3,selfed,2
10,10sA1_2,2,selfed,1
10,10sA1_1,1,selfed,1
10,10sD1_1,1,selfed,2
11,11sB1_1,1,selfed,2
12,12s?1_1,1,selfed,2
12,12sA1_2,2,selfed,2
12,12sA2_1,1,selfed,1
12,12sA3_1,1,selfed,1
12,12sB1_1,1,selfed,9
12,12sB2_2,2,selfed,2
12,12sB2_1,1,selfed,1
12,12sB3_1,1,selfed,4
12,12sB4_2,2,selfed,1
12,12sB4_1,1,selfed,17
12,12sD1_1,1,selfed,10
12,12sD2_1,1,selfed,4
12,12sF1_1,1,selfed,2
12,12sF1_2,2,selfed,4
12,12sG1_1,1,selfed,1
12,12sG2_2,2,selfed,0
12,12sG2_1,1,selfed,1
12,12sH1_2,2,selfed,3
12,12sH1_1,1,selfed,9
12,12sI1_2,2,selfed,9
12,12sI1_1,1,selfed,18
13,13s?1_1,1,selfed,3
13,13s?1_2,2,selfed,2
13,13sA1_1,1,selfed,1
13,13sB1_1,1,selfed,4
13,13sB1_2,2,selfed,2
13,13sD1_2,2,selfed,9
13,13sD1_1,1,selfed,9
13,13sD2_1,1,selfed,2
13,13sF1_1,1,selfed,3
13,13sG1_1,1,selfed,1
13,13sTest1_1,1,selfed,5
13,13sT2_2,2,selfed,1
13,13sT3_1,1,selfed,1
13,13test21_2,2,selfed,3
13,13test21_1,1,selfed,3
18,18s1_1,1,selfed,7
18,18sB1_1,1,selfed,2
18,18sB2_1,1,selfed,3
18,18sD1_1,1,selfed,6
18,18sD2_1,1,selfed,6
18,18sD2_2,2,selfed,8
18,18sD3_1,1,selfed,2
18,18sE1_1,1,selfed,7
18,18sE1_2,2,selfed,1
18,18sE2_1,1,selfed,1
18,18sE2_2,2,selfed,3
18,18sE2_3,3,selfed,1
18,18sF1_3,3,selfed,7
18,18sF1_1,1,selfed,2
18,18sF1_2,2,selfed,2
18,18sF2_1,1,selfed,3
18,18sF3_1,1,selfed,4
18,18sF4_1,1,selfed,3
18,18sF4_2,2,selfed,1
18,18sH1_1,1,selfed,3
18,18sH2_1,1,selfed,2
18,18sH3_2,2,selfed,1
18,18sH3_1,1,selfed,3
18,18sH4_1,1,selfed,2
18,18sH4_2,2,selfed,5
18,18sH5_2,2,selfed,1
18,18sH5_1,1,selfed,8
18,18sI1_1,1,selfed,1
18,18sJ1_1,1,selfed,3
1,1sA1_1,1,selfed,1
22,22sB1_1,1,selfed,1
22,22sD1_1,1,selfed,1
22,22sE1_4,4,selfed,2
22,22sE1_3,3,selfed,1
22,22sE1_2,2,selfed,3
22,22sE1_1,1,selfed,3
22,22sE2_1,1,selfed,3
22,22sE2_3,3,selfed,8
22,22sE2_2,2,selfed,2
22,22sE3_2,2,selfed,4
22,22sE3_1,1,selfed,2
22,22sF1_1,1,selfed,1
4,4sE1_1,1,selfed,2
4,4sE1_2,2,selfed,1
8,8sA1_3,3,selfed,1
10,10xA1_1,1,outcrossed,6
11,11x?1_1,1,outcrossed,5
11,11x?1_2,2,outcrossed,1
12,12xA1_1,1,outcrossed,5
12,12xA1_2,2,outcrossed,6
12,12xA1_3,3,outcrossed,19
12,12xA2_1,1,outcrossed,5
12,12xC1_1,1,outcrossed,3
12,12xC2_1,1,outcrossed,3
12,12xD1_1,1,outcrossed,7
12,12xE1_1,1,outcrossed,7
13,13xA1_1,1,outcrossed,3
13,13xC1_1,1,outcrossed,7
13,13xD1_1,1,outcrossed,2
13,13xE1_1,1,outcrossed,4
13,13xE1_3,3,outcrossed,4
13,13xE1_2,2,outcrossed,4
18,18xA1_1,1,outcrossed,5
18,18xA2_2,2,outcrossed,1
18,18xA2_1,1,outcrossed,9
18,18xA3_1,1,outcrossed,9
18,18xB1_1,1,outcrossed,7
18,18xB2_1,1,outcrossed,3
18,18xD1_1,1,outcrossed,14
18,18xD2_1,1,outcrossed,7
18,18xK1_2,2,outcrossed,2
18,18xK1_1,1,outcrossed,4
1,1x?1_1,1,outcrossed,4
1,1xA1_2,2,outcrossed,5
1,1xD1_1,1,outcrossed,1
1,1xE2_1,1,outcrossed,5
1,1xG1*_1,1,outcrossed,2
1,1xG1_2,2,outcrossed,3
1,1xH1_2,2,outcrossed,6
1,1xH1_1,1,outcrossed,2
1,1xJ1_1,2,outcrossed,2
1,1xJ1_1,1,outcrossed,5
22,22xA1_1,1,outcrossed,5
22,22xA2_1,1,outcrossed,9
